STRING_ID,en,fr
STR_TITLE,12 Seconds to Bethlehem,12 secondes jusqu’à Bethléem
STR_MAIN_MENU,Main Menu,Menu principal
STR_LANGUAGE,English,français
STR_SETTINGS,Settings,Paramètres
STR_DEBUG_SETTINGS,Debug Settings,Paramètres de débogage
STR_START,Start,Commencer
STR_RESUME,Resume Game,Retourner au jeu
STR_QUIT,Quit,Quitter
STR_SOUND,Sound,Son
STR_MASTER_VOLUME,Master Volume,Volume principal
STR_MUSIC_VOLUME,Music Volume,Volume de la musique
STR_SOUND_FX_VOLUME,Sound Effects,Volume des effets sonores
STR_SPLASH_VOLUME,Splash Volume,Volume de l'écran de démarrage
STR_CANCEL,Cancel,Annuler
STR_SAVE,Save Settings,Enregistrer les paramètres
STR_PREVIOUS_MENU,Previous Menu,Menu précédent
STR_FACTORY_RESET,Factory Reset,Réinitialisation d'usine
STR_GAME_PLAY,"This is a short Christmas exploration game where the player gathers symbolic gifts scattered around the desert on the night of Jesus’s birth. Use keyboard WASD and spacebar, or arrow keys and spacebar, or a joystick.  Button or spacebar to jump.  When all items are found, the player completes their mission.","Il s'agit d'un court jeu d'exploration sur le thème de Noël, où le joueur doit ramasser des cadeaux symboliques éparpillés dans le désert la nuit de la naissance de Jésus. Utilisez les touches WASD et la barre d'espace du clavier, ou les flèches directionnelles et la barre d'espace, ou encore un joystick. Appuyez sur le bouton ou la barre d'espace pour sauter. Une fois tous les objets trouvés, le joueur termine sa mission."
STR_HELP,How to Play,Comment jouer
STR_CHOOSE_LANGUAGE,Choose your language,Choisissez votre langue
STR_CREDITS,Credits,Crédits
STR_PROGRAMMING,Programmer:,Programmeur:
STR_MUSIC_AND_SFX,Music and Special Effects:,Musique et effets spéciaux
STR_IMAGES,Images,Images
STR_YOU_WON,You Won!,Vous avez gagné !
STR_WON_DETAILS,Congratulations! You managed to be there for Jesus's birth with all the gifts! (The wise men didn't show up until two years after his birth!),Félicitations ! Vous avez réussi à être présent à la naissance de Jésus avec tous les cadeaux ! (Les rois mages ne sont arrivés que deux ans après sa naissance !)
STR_YOU_LOST,Mission Failed.,Mission échouée.
STR_LOST_DETAILS,Don't feel bad. The wise men were not there when Jesus was born either.,Ne vous en faites pas. Les rois mages n'étaient pas là non plus à la naissance de Jésus.
STR_RESTART,Try Again,Réessayer
STR_SCORE,Score:,Note:
